2leggedoauth                                                                                                                                                                                   ,2-legged OAuth
hornetqmb                                                                                                                                                                                      ,HornetQ MB
hornetqallnew                                                                                                                                                                                  ,hornetq-all-new
host                                                                                                                                                                                           ,Host
hostname                                                                                                                                                                                       ,Host Name
htartifact                                                                                                                                                                                     ,HT artifact
htrenderingssample                                                                                                                                                                             ,HT Renderings Sample
htconfig.xmlfile                                                                                                                                                                               ,htconfig.xml file
html                                                                                                                                                                                           ,Html
htmlpage                                                                                                                                                                                       ,HTML Page
http                                                                                                                                                                                           ,http
httpaccesslog                                                                                                                                                                                  ,HTTP Access Log
httpaccesslogging                                                                                                                                                                              ,HTTP Access Logging
httpclient                                                                                                                                                                                     ,HTTP Client
httpendpoint                                                                                                                                                                                   ,HTTP Endpoint
httpendpointattribute                                                                                                                                                                          ,HTTP Endpoint Attribute
httpheader                                                                                                                                                                                     ,HTTP header
httpheaderconversion                                                                                                                                                                           ,HTTP header conversion
httpinboundendpointsample                                                                                                                                                                      ,HTTP Inbound Endpoint Sample
httpinboundprotocol                                                                                                                                                                            ,HTTP Inbound Protocol
httplistener                                                                                                                                                                                   ,HTTP Listener
httpmethod                                                                                                                                                                                     ,HTTP method
httppassthroughtransport                                                                                                                                                                       ,HTTP PassThrough transport
httppost                                                                                                                                                                                       ,HTTP POST
httpput                                                                                                                                                                                        ,HTTP PUT
httpsender                                                                                                                                                                                     ,HTTP Sender
httpservlettransport                                                                                                                                                                           ,HTTP Servlet Transport
httptransport                                                                                                                                                                                  ,HTTP Transport
httptransportlevel                                                                                                                                                                             ,HTTP transport level
httptransportproperty                                                                                                                                                                          ,HTTP Transport Property
httpurlhttpheader                                                                                                                                                                              ,HTTP URL HTTP Header
httpnio                                                                                                                                                                                        ,HTTP-NIO
httpniotransport                                                                                                                                                                               ,HTTP-NIO transport
http/https                                                                                                                                                                                     ,http/https
http/s                                                                                                                                                                                         ,HTTP/S
http://0.0.0.0:8161/admin                                                                                                                                                                      ,http://0.0.0.0:8161/admin
http://activemq.apache.org/failovertransportreference.html                                                                                                                                     ,http://activemq.apache.org/failover-transport-reference.html
http://activemq.apache.org/masterslave.html                                                                                                                                                    ,http://activemq.apache.org/masterslave.html
http://activemq.apache.org/security.html                                                                                                                                                       ,http://activemq.apache.org/security.html
http://activemq.apache.org/wildcards.html                                                                                                                                                      ,http://activemq.apache.org/wildcards.html
http://ant.apache.org                                                                                                                                                                          ,http://ant.apache.org
http://axis.apache.org/axis2/java/transports/jms.html#service_configuration                                                                                                                    ,http://axis.apache.org/axis2/java/transports/jms.html#Service_configuration
http://curl.haxx.se                                                                                                                                                                            ,http://curl.haxx.se
http://db.apache.org                                                                                                                                                                           ,http://db.apache.org
http://dev.mysql.com/downloads/connector/j/5.1.html                                                                                                                                            ,http://dev.mysql.com/downloads/connector/j/5.1.html
http://docs.oasisopen.org/bpel4people/bpel4people1.1speccd09.pdf                                                                                                                               ,http://docs.oasis-open.org/bpel4people/bpel4people-1.1-spec-cd-09.pdf
http://docs.oasisopen.org/bpel4people/wshumantask1.1speccd10.pdf                                                                                                                               ,http://docs.oasis-open.org/bpel4people/ws-humantask-1.1-spec-cd-10.pdf
http://docs.oasisopen.org/wsbpel/2                                                                                                                                                             ,http://docs.oasis-open.org/wsbpel/2
http://docs.oasisopen.org/wsbpel/2.0/cs01/wsbpelv2.0cs01.html#sa00039_table                                                                                                                    ,http://docs.oasis-open.org/wsbpel/2.0/CS01/wsbpel-v2.0-CS01.html#SA00039_table
http://docs.oasisopen.org/wsbpel/2.0/process/abstract                                                                                                                                          ,http://docs.oasis-open.org/wsbpel/2.0/process/abstract
http://docs.oracle.com/cd/e1950901/8203503/ggfen/index.html                                                                                                                                    ,http://docs.oracle.com/cd/E19509-01/820-3503/ggfen/index.html
http://docs.oracle.com/javase/7/docs/api/java/util/properties.html#load%28java.io                                                                                                              ,http://docs.oracle.com/javase/7/docs/api/java/util/Properties.html#load%28java.io
http://hornetq.jboss.org/downloads                                                                                                                                                             ,http://hornetq.jboss.org/downloads
http://java.sun.com/javase/downloads/index.jsp                                                                                                                                                 ,http://java.sun.com/javase/downloads/index.jsp
http://java.sun.com/javase/downloads/index_jdk5.jsp                                                                                                                                            ,http://java.sun.com/javase/downloads/index_jdk5.jsp
http://localhost:7001                                                                                                                                                                          ,http://localhost:7001
http://localhost:8161/admin                                                                                                                                                                    ,http://localhost:8161/admin
http://localhost:8280/healthcare/categories/surgery/reserve                                                                                                                                    ,http://localhost:8280/healthcare/categories/surgery/reserve
http://localhost:8280/services/stockquoteproxy?wsdl                                                                                                                                            ,http://localhost:8280/services/StockQuoteProxy?wsdl
http://localhost:8280/soapenvelopetest                                                                                                                                                         ,http://localhost:8280/soapEnvelopeTest
http://localhost:9000/services/simplestockquoteservice                                                                                                                                         ,http://localhost:9000/services/SimpleStockQuoteService
http://localhost:9000/services/simplestockquoteservice?wsdl                                                                                                                                    ,http://localhost:9000/services/SimpleStockQuoteService?wsdl
http://maven.apache.org                                                                                                                                                                        ,http://maven.apache.org
http://mosquitto.org/                                                                                                                                                                          ,http://mosquitto.org/
http://msdn.microsoft.com/enus/library/aa967729.aspx                                                                                                                                           ,http://msdn.microsoft.com/en-us/library/aa967729.aspx
http://ode.apache.org/xpathextensions.html                                                                                                                                                     ,http://ode.apache.org/xpath-extensions.html
http://quartzscheduler.org/documentation/quartz2.x/configuration/configmain                                                                                                                    ,http://quartz-scheduler.org/documentation/quartz-2.x/configuration/ConfigMain
http://synapse.apache.org/userguide/config.html                                                                                                                                                ,http://synapse.apache.org/userguide/config.html
http://technonstop.com/tcpmontutorial                                                                                                                                                          ,http://technonstop.com/tcpmon-tutorial
http://tempuri.org/services/loanapproval                                                                                                                                                       ,http://tempuri.org/services/loanApproval
http://tempuri.org/services/loanapprover                                                                                                                                                       ,http://tempuri.org/services/loanApprover
http://tomcat.apache.org/tomcat7.0doc/jndiresourceshowto.html                                                                                                                                  ,http://tomcat.apache.org/tomcat-7.0-doc/jndi-resources-howto.html
http://wiki.apache.org/cassandra/cassandracli                                                                                                                                                  ,http://wiki.apache.org/cassandra/CassandraCli
http://wso2.com                                                                                                                                                                                ,http://wso2.com
http://wso2.com/integration                                                                                                                                                                    ,http://wso2.com/integration
http://wso2.org/bps/extensions/propertyreader                                                                                                                                                  ,http://wso2.org/bps/extensions/propertyReader
http://wso2.org/bps/samples/customerinfo                                                                                                                                                       ,http://wso2.org/bps/samples/CustomerInfo
http://wso2.org/bps/samples/loanprocess                                                                                                                                                        ,http://wso2.org/bps/samples/LoanProcess
http://wso2.org/claims                                                                                                                                                                         ,http://wso2.org/claims
http://wso2.org/claims/emailaddress                                                                                                                                                            ,http://wso2.org/claims/emailaddress
http://wso2.org/claims/fullname                                                                                                                                                                ,http://wso2.org/claims/fullname
http://wso2.org/library/2900                                                                                                                                                                   ,http://wso2.org/library/2900
http://wso2.org/library/articles/2011/12/wso2esbexamplepubsubsoa                                                                                                                               ,http://wso2.org/library/articles/2011/12/wso2-esb-example-pubsub-soa
http://wso2.org/library/articles/writingsimplewsbpelprocesswso2bpsapacheode                                                                                                                    ,http://wso2.org/library/articles/writing-simple-ws-bpel-process-wso2-bps-apache-ode
http://wso2.org/library/articles/writingsimplewsbpelprocesswso2bpsapacheode#establishpartnerlink                                                                                               ,http://wso2.org/library/articles/writing-simple-ws-bpel-process-wso2-bps-apache-ode#establish-partner-link
http://wso2.org/library/articles/writingsimplewsbpelprocesswso2bpsapacheode#invokepartnerservice                                                                                               ,http://wso2.org/library/articles/writing-simple-ws-bpel-process-wso2-bps-apache-ode#invoke-partner-service
http://wso2.org/library/articles/writingsimplewsbpelprocesswso2bpsapacheode#variablemanipulation                                                                                               ,http://wso2.org/library/articles/writing-simple-ws-bpel-process-wso2-bps-apache-ode#variable-manipulation
http://www01.ibm.com/software/integration/wmq                                                                                                                                                  ,http://www-01.ibm.com/software/integration/wmq
http://www.apache.org/ode/schemas/dd/2007/03                                                                                                                                                   ,http://www.apache.org/ode/schemas/dd/2007/03
http://www.apache.org/ode/type/extension                                                                                                                                                       ,http://www.apache.org/ode/type/extension
http://www.example.com/claims/schema                                                                                                                                                           ,http://www.example.com/claims/schema
http://www.oracle.com/technetwork/java/javase/downloads/index.html                                                                                                                             ,http://www.oracle.com/technetwork/java/javase/downloads/index.html
http://www.oracle.com/technetwork/java/javase/downloads/jce6download429243.html                                                                                                                ,http://www.oracle.com/technetwork/java/javase/downloads/jce-6-download-429243.html
http://www.quartzscheduler.org/documentation/quartz1.x/tutorials/crontrigger                                                                                                                   ,http://www.quartz-scheduler.org/documentation/quartz-1.x/tutorials/crontrigger
http://www.quickfixj.org/downloads                                                                                                                                                             ,http://www.quickfixj.org/downloads
http://www.quickfixj.org/quickfixj/usermanual/1.5.0/usage/configuration.html                                                                                                                   ,http://www.quickfixj.org/quickfixj/usermanual/1.5.0/usage/configuration.html
http://www.quickfixj.org/quickfixj/usermanual/1.5.0/usage/examples.html                                                                                                                        ,http://www.quickfixj.org/quickfixj/usermanual/1.5.0/usage/examples.html
http://www.sitepoint.com/html                                                                                                                                                                  ,http://www.sitepoint.com/html
http://www.snmp4j.org                                                                                                                                                                          ,http://www.snmp4j.org
http://www.w3.org/rdf/validator                                                                                                                                                                ,http://www.w3.org/RDF/Validator
http://www.yenlo.nl/en/digilink/                                                                                                                                                               ,http://www.yenlo.nl/en/digilink/
http_sc                                                                                                                                                                                        ,HTTP_SC
http_sc_desc                                                                                                                                                                                   ,HTTP_SC_DESC
httpsinboundendpointsample                                                                                                                                                                     ,HTTPS Inbound Endpoint Sample
httpsinboundprotocol                                                                                                                                                                           ,HTTPS Inbound Protocol
httpsservlettransport                                                                                                                                                                          ,HTTPS Servlet Transport
httpsniotransport                                                                                                                                                                              ,HTTPS-NIO Transport
https://10.100.5.12:9443/carbon                                                                                                                                                                ,https://10.100.5.12:9443/carbon
https://console.developers.google.com/projectselector/apis/credentials                                                                                                                         ,https://console.developers.google.com/projectselector/apis/credentials
https://developers.google.com/oauthplayground                                                                                                                                                  ,https://developers.google.com/oauthplayground
https://docs.google.com/spreadsheets/d/1o1pcmmfcbwz_ej54ymcb486gcttdsr6b4kfermkrr1w/edit?hl=en&hl=en#gid=0                                                                                     ,https://docs.google.com/spreadsheets/d/1o1pCmMFcbWZ_eJ54ymcb486GctTdsR6b4kFERmKrR1w/edit?hl=en&hl=en#gid=0
https://github.com/wso2docs/esb/tree/master/esbartifacts/oauthhandler_sample                                                                                                                   ,https://github.com/wso2-docs/ESB/tree/master/ESB-Artifacts/OAuthHandler_Sample
https://github.com/wso2/carbonmediation/tree/v4.6.6/components/businessadaptors/hl7/org.wso2.carbon.business.messaging.hl7.samples/src/main/java/org/wso2/carbon/business/messaging/hl7/samples,https://github.com/wso2/carbon-mediation/tree/v4.6.6/components/business-adaptors/hl7/org.wso2.carbon.business.messaging.hl7.samples/src/main/java/org/wso2/carbon/business/messaging/hl7/samples
https://github.com/wso2/productesb/blob/v5.0.0/modules/samples/integrationscenarios/starbucks_sample/bin/wso2restbasicauthhandler1.0snapshot.jar                                               ,https://github.com/wso2/product-esb/blob/v5.0.0/modules/samples/integration-scenarios/starbucks_sample/bin/WSO2-REST-BasicAuth-Handler-1.0-SNAPSHOT.jar
https://github.com/wso2/productesb/tree/v5.0.0/modules/samples/integrationscenarios/starbucks_sample/basicauthhandler                                                                          ,https://github.com/wso2/product-esb/tree/v5.0.0/modules/samples/integration-scenarios/starbucks_sample/BasicAuth-handler
https://github.com/wso2/wso2dssconnectors                                                                                                                                                      ,https://github.com/wso2/wso2-dss-connectors
https://localhost                                                                                                                                                                              ,https://localhost
https://localhost:8243/carbon/                                                                                                                                                                 ,https://localhost:8243/carbon/
https://localhost:9443/carbon                                                                                                                                                                  ,https://localhost:9443/carbon
https://localhost:9443/carbon/                                                                                                                                                                 ,https://localhost:9443/carbon/
https://localhost:9443/services                                                                                                                                                                ,https://localhost:9443/services
https://localhost:9444/carbon/                                                                                                                                                                 ,https://localhost:9444/carbon/
https://localhost:9445/bpmnexplorer                                                                                                                                                            ,https://localhost:9445/bpmn-explorer
https://localhost:9445/bpmnexplorer/                                                                                                                                                           ,https://localhost:9445/bpmn-explorer/
https://localhost:9445/bpmn/                                                                                                                                                                   ,https://localhost:9445/bpmn/
https://localhost:9445/carbon                                                                                                                                                                  ,https://localhost:9445/carbon
https://localhost:9445/carbon/                                                                                                                                                                 ,https://localhost:9445/carbon/
https://localhost:9446/carbon                                                                                                                                                                  ,https://localhost:9446/carbon
https://s3.amazonaws.com/tfpearsonecollege/bestpractices/restful+best+practices.pdf                                                                                                            ,https://s3.amazonaws.com/tfpearsonecollege/bestpractices/RESTful+Best+Practices.pdf
https://svn.wso2.org/repos/wso2/carbon/platform/branches/turing/products/bps/3.2.0/modules/samples/product/bpelpropertyreader/                                                                 ,https://svn.wso2.org/repos/wso2/carbon/platform/branches/turing/products/bps/3.2.0/modules/samples/product/bpel-property-reader/
https://www.datastax.com/documentation/developer/javadriver/2.0/index.html                                                                                                                     ,https://www.datastax.com/documentation/developer/java-driver/2.0/index.html
https://www.googleapis.com/gmail                                                                                                                                                               ,https://www.googleapis.com/gmail
https://xxx.xxx.xxx.xx3:443/                                                                                                                                                                   ,https://xxx.xxx.xxx.xx3:443/
hugeedimessageprocessing                                                                                                                                                                       ,Huge EDI Message Processing
hugexmlmessageprocessing                                                                                                                                                                       ,Huge XML Message Processing
humantask                                                                                                                                                                                      ,Human Task
humantaskartifact                                                                                                                                                                              ,Human Task Artifact
humantaskcoordination                                                                                                                                                                          ,Human Task Coordination
humantaskcoordinationsample                                                                                                                                                                    ,Human Task Coordination Sample
humantaskexplorer                                                                                                                                                                              ,Human Task Explorer
humantaskproject                                                                                                                                                                               ,Human Task Project
humantaskrendering                                                                                                                                                                             ,Human Task Rendering
humantaskruntime                                                                                                                                                                               ,Human Task Runtime
humantasksample                                                                                                                                                                                ,Human Task Sample
humantaskartifactproject                                                                                                                                                                       ,Human Task-artifact project
humantaskcaching                                                                                                                                                                               ,HumanTask caching
humantaskschedulerthread                                                                                                                                                                       ,HumanTask scheduler thread
humantaskexplorer/login                                                                                                                                                                        ,humantask-explorer/login
hydration                                                                                                                                                                                      ,hydration
ibm                                                                                                                                                                                            ,IBM
ibmdb2database                                                                                                                                                                                 ,IBM DB2 database
ibmdocumentation                                                                                                                                                                               ,IBM documentation
ibmjdk                                                                                                                                                                                         ,IBM JDK
ibmwebsphereas                                                                                                                                                                                 ,IBM WebSphere AS
ibmwebspheremq                                                                                                                                                                                 ,IBM WebSphere MQ
ibmwebspheremqversion8.0.0.4                                                                                                                                                                   ,IBM WebSphere MQ version 8.0.0.4
ibmx509                                                                                                                                                                                        ,IbmX509
id                                                                                                                                                                                             ,ID
identity.xml                                                                                                                                                                                   ,identity.xml
idocadapter                                                                                                                                                                                    ,IDoc adapter
idocs                                                                                                                                                                                          ,IDocs
ietf                                                                                                                                                                                           ,ietf
ifelse                                                                                                                                                                                         ,IfElse
imappackagesummary                                                                                                                                                                             ,IMAP Package Summary
importapiartifact                                                                                                                                                                              ,Import API Artifact
importdataservice                                                                                                                                                                              ,Import Data Service
importendpoint                                                                                                                                                                                 ,Import Endpoint
importinboundendpoint                                                                                                                                                                          ,Import Inbound Endpoint
importlocalentry                                                                                                                                                                               ,Import Local Entry
importproject                                                                                                                                                                                  ,Import Project
importproxyservice                                                                                                                                                                             ,Import Proxy Service
importscheduledtaskartifact                                                                                                                                                                    ,Import Scheduled Task Artifact
importsequence                                                                                                                                                                                 ,Import Sequence
insequence                                                                                                                                                                                     ,In sequence
inlinesequence                                                                                                                                                                                 ,in-line sequence
inlinedpolicy                                                                                                                                                                                  ,In-Lined Policy
inlinedsequence                                                                                                                                                                                ,In-Lined Sequence
inlinedwsdl                                                                                                                                                                                    ,In-lined WSDL
inmemory                                                                                                                                                                                       ,In-Memory
inmemoryexecution                                                                                                                                                                              ,In-memory execution
in/outtype                                                                                                                                                                                     ,IN/OUT Type
in/out/faultsequence                                                                                                                                                                           ,in/out/fault sequence
inbound                                                                                                                                                                                        ,Inbound
inboundendpoint                                                                                                                                                                                ,Inbound Endpoint
inboundendpointconfiguration                                                                                                                                                                   ,inbound endpoint configuration
inboundendpointfileprotocolsample                                                                                                                                                              ,Inbound Endpoint File Protocol Sample
inboundendpointjmsprotocolsample                                                                                                                                                               ,Inbound Endpoint JMS Protocol Sample
inboundendpointkafkaprotocolsample                                                                                                                                                             ,Inbound Endpoint Kafka Protocol Sample
inboundendpointmediationlevelproperty                                                                                                                                                          ,inbound endpoint mediation level property
inboundendpointmqttprotocolsample                                                                                                                                                              ,Inbound Endpoint MQTT Protocol Sample
inboundendpointparameter                                                                                                                                                                       ,inbound endpoint parameter
inboundendpointrabbitmqprotocolsample                                                                                                                                                          ,Inbound Endpoint RabbitMQ Protocol Sample
inboundendpointrequestcount                                                                                                                                                                    ,Inbound Endpoint Request Count
inboundendpointsample                                                                                                                                                                          ,Inbound Endpoint Sample
inboundevent                                                                                                                                                                                   ,Inbound Event
inboundhl7                                                                                                                                                                                     ,Inbound HL7
inboundlistener                                                                                                                                                                                ,inbound listener
inboundpolicykey                                                                                                                                                                               ,Inbound Policy Key
inboundprotocol                                                                                                                                                                                ,Inbound Protocol
inbox                                                                                                                                                                                          ,Inbox
